id_typecard,Card_Type
362,GOLD
364,SILVER
366,DIAMOND
368,PLATINUM
370,GOLD
372,PLATINUM
374,GOLD
376,SILVER
378,PLATINUM
380,GOLD
382,GOLD
384,PLATINUM
386,SILVER
388,GOLD
390,DIAMOND
392,SILVER
394,GOLD
396,PLATINUM
398,PLATINUM
400,PLATINUM
402,DIAMOND
404,GOLD
406,GOLD
408,DIAMOND
410,PLATINUM
412,GOLD
414,PLATINUM
416,SILVER
418,GOLD
420,DIAMOND
422,PLATINUM
424,GOLD
426,DIAMOND
428,SILVER
430,DIAMOND
432,GOLD
434,DIAMOND
436,SILVER
438,DIAMOND
440,PLATINUM
442,SILVER
444,DIAMOND
446,SILVER
448,SILVER
450,PLATINUM
452,GOLD
454,DIAMOND
456,SILVER
458,DIAMOND
460,GOLD
462,SILVER
464,GOLD
466,PLATINUM
468,DIAMOND
470,SILVER
472,GOLD
474,GOLD
476,DIAMOND
478,DIAMOND
480,PLATINUM
482,GOLD
484,GOLD
486,DIAMOND
488,SILVER
490,DIAMOND
492,GOLD
494,PLATINUM
496,PLATINUM
498,GOLD
500,DIAMOND
502,PLATINUM
504,DIAMOND
506,DIAMOND
508,DIAMOND
510,SILVER
512,GOLD
514,GOLD
516,SILVER
518,SILVER
520,GOLD
522,DIAMOND
524,DIAMOND
526,GOLD
528,PLATINUM
530,PLATINUM
532,PLATINUM
534,DIAMOND
536,GOLD
538,GOLD
540,SILVER
542,PLATINUM
544,PLATINUM
546,GOLD
548,GOLD
550,PLATINUM
552,GOLD
554,SILVER
556,PLATINUM
558,SILVER
560,PLATINUM
562,PLATINUM
564,DIAMOND
566,GOLD
568,DIAMOND
570,PLATINUM
572,SILVER
574,SILVER
576,PLATINUM
578,PLATINUM
580,PLATINUM
582,SILVER
584,DIAMOND
586,PLATINUM
588,PLATINUM
590,DIAMOND
592,PLATINUM
594,PLATINUM
596,SILVER
598,GOLD
600,PLATINUM
602,SILVER
604,SILVER
606,PLATINUM
608,GOLD
610,SILVER
612,SILVER
614,DIAMOND
616,SILVER
618,DIAMOND
620,PLATINUM
622,GOLD
624,GOLD
626,GOLD
628,SILVER
630,SILVER
632,SILVER
634,DIAMOND
636,PLATINUM
638,DIAMOND
640,GOLD
642,PLATINUM
644,SILVER
646,SILVER
648,PLATINUM
650,DIAMOND
652,PLATINUM
654,DIAMOND
656,SILVER
658,PLATINUM
660,GOLD
662,GOLD
664,DIAMOND
666,DIAMOND
668,PLATINUM
670,DIAMOND
672,GOLD
674,PLATINUM
676,DIAMOND
678,SILVER
680,DIAMOND
682,GOLD
684,SILVER
686,PLATINUM
688,PLATINUM
690,PLATINUM
692,SILVER
694,SILVER
696,PLATINUM
698,GOLD
700,DIAMOND
702,DIAMOND
704,GOLD
706,PLATINUM
708,DIAMOND
710,PLATINUM
712,DIAMOND
714,GOLD
716,GOLD
718,SILVER
720,DIAMOND
722,SILVER
724,PLATINUM
726,DIAMOND
728,PLATINUM
730,PLATINUM
732,GOLD
734,PLATINUM
736,DIAMOND
738,DIAMOND
740,SILVER
742,SILVER
744,PLATINUM
746,DIAMOND
748,DIAMOND
750,GOLD
752,GOLD
754,GOLD
756,GOLD
758,DIAMOND
760,GOLD
762,SILVER
764,DIAMOND
766,GOLD
768,DIAMOND
770,PLATINUM
772,DIAMOND
774,DIAMOND
776,GOLD
778,PLATINUM
780,PLATINUM
782,SILVER
784,SILVER
786,GOLD
788,GOLD
790,DIAMOND
792,PLATINUM
794,SILVER
796,SILVER
798,GOLD
800,DIAMOND
802,DIAMOND
804,SILVER
806,SILVER
808,GOLD
810,SILVER
812,DIAMOND
814,GOLD
816,SILVER
818,SILVER
820,DIAMOND
822,SILVER
824,PLATINUM
826,GOLD
828,GOLD
830,DIAMOND
832,PLATINUM
834,DIAMOND
836,DIAMOND
838,DIAMOND
840,DIAMOND
842,DIAMOND
844,SILVER
846,GOLD
848,DIAMOND
850,PLATINUM
852,GOLD
854,GOLD
856,DIAMOND
858,PLATINUM
860,SILVER
862,PLATINUM
864,DIAMOND
866,DIAMOND
868,GOLD
870,PLATINUM
872,SILVER
874,DIAMOND
876,GOLD
878,SILVER
880,SILVER
882,SILVER
884,DIAMOND
886,SILVER
888,DIAMOND
890,DIAMOND
892,GOLD
894,GOLD
896,DIAMOND
898,PLATINUM
900,GOLD
902,GOLD
904,GOLD
906,GOLD
908,PLATINUM
910,SILVER
912,GOLD
914,SILVER
916,DIAMOND
918,GOLD
920,DIAMOND
922,GOLD
924,SILVER
926,DIAMOND
928,DIAMOND
930,SILVER
932,GOLD
934,DIAMOND
936,GOLD
938,GOLD
940,GOLD
942,PLATINUM
944,DIAMOND
946,DIAMOND
948,SILVER
950,GOLD
952,SILVER
954,SILVER
956,DIAMOND
958,SILVER
960,GOLD
962,DIAMOND
964,PLATINUM
966,SILVER
968,GOLD
970,DIAMOND
972,GOLD
974,PLATINUM
976,PLATINUM
978,DIAMOND
980,GOLD
982,PLATINUM
984,DIAMOND
986,GOLD
988,SILVER
990,PLATINUM
992,DIAMOND
994,SILVER
996,SILVER
998,SILVER
1000,DIAMOND
1002,DIAMOND
1004,PLATINUM
1006,GOLD
1008,SILVER
1010,PLATINUM
1012,PLATINUM
1014,DIAMOND
1016,PLATINUM
1018,DIAMOND
1020,GOLD
1022,GOLD
1024,SILVER
1026,PLATINUM
1028,DIAMOND
1030,PLATINUM
1032,SILVER
1034,PLATINUM
1036,GOLD
1038,GOLD
1040,GOLD
1042,PLATINUM
1044,SILVER
1046,PLATINUM
1048,DIAMOND
1050,PLATINUM
1052,DIAMOND
1054,SILVER
1056,SILVER
1058,GOLD
1060,DIAMOND
1062,SILVER
1064,DIAMOND
1066,GOLD
1068,GOLD
1070,GOLD
1072,DIAMOND
1074,PLATINUM
1076,SILVER
1078,GOLD
1080,PLATINUM
1082,DIAMOND
1084,PLATINUM
1086,SILVER
1088,PLATINUM
1090,SILVER
1092,DIAMOND
1094,DIAMOND
1096,SILVER
1098,GOLD
1100,GOLD
1102,SILVER
1104,GOLD
1106,DIAMOND
1108,SILVER
1110,SILVER
1112,SILVER
1114,SILVER
1116,SILVER
1118,GOLD
1120,DIAMOND
1122,DIAMOND
1124,DIAMOND
1126,GOLD
1128,DIAMOND
1130,SILVER
1132,GOLD
1134,SILVER
1136,PLATINUM
1138,PLATINUM
1140,GOLD
1142,GOLD
1144,SILVER
1146,SILVER
1148,GOLD
1150,GOLD
1152,SILVER
1154,DIAMOND
1156,GOLD
1158,SILVER
1160,DIAMOND
1162,DIAMOND
1164,PLATINUM
1166,PLATINUM
1168,PLATINUM
1170,SILVER
1172,DIAMOND
1174,PLATINUM
1176,SILVER
1178,PLATINUM
1180,PLATINUM
1182,SILVER
1184,DIAMOND
1186,SILVER
1188,GOLD
1190,PLATINUM
1192,DIAMOND
1194,SILVER
1196,PLATINUM
1198,SILVER
1200,DIAMOND
1202,SILVER
1204,PLATINUM
1206,GOLD
1208,DIAMOND
1210,DIAMOND
1212,GOLD
1214,PLATINUM
1216,GOLD
1218,SILVER
1220,DIAMOND
1222,DIAMOND
1224,PLATINUM
1226,SILVER
1228,PLATINUM
1230,PLATINUM
1232,SILVER
1234,DIAMOND
1236,GOLD
1238,DIAMOND
1240,SILVER
1242,DIAMOND
1244,PLATINUM
1246,PLATINUM
1248,SILVER
1250,GOLD
1252,PLATINUM
1254,GOLD
1256,SILVER
1258,GOLD
1260,SILVER
1262,SILVER
1264,DIAMOND
1266,PLATINUM
1268,SILVER
1270,DIAMOND
1272,SILVER
1274,PLATINUM
1276,SILVER
1278,SILVER
1280,SILVER
1282,PLATINUM
1284,PLATINUM
1286,PLATINUM
1288,DIAMOND
1290,SILVER
1292,SILVER
1294,SILVER
1296,DIAMOND
1298,SILVER
1300,PLATINUM
1302,PLATINUM
1304,GOLD
1306,DIAMOND
1308,DIAMOND
1310,PLATINUM
1312,DIAMOND
1314,PLATINUM
1316,DIAMOND
1318,GOLD
1320,DIAMOND
1322,SILVER
1324,SILVER
1326,DIAMOND
1328,PLATINUM
1330,PLATINUM
1332,DIAMOND
1334,PLATINUM
1336,DIAMOND
1338,SILVER
1340,PLATINUM
1342,PLATINUM
1344,GOLD
1346,SILVER
1348,PLATINUM
1350,PLATINUM
1352,SILVER
1354,PLATINUM
1356,SILVER
1358,DIAMOND
1360,SILVER
1362,GOLD
1364,GOLD
1366,SILVER
1368,DIAMOND
1370,SILVER
1372,PLATINUM
1374,PLATINUM
1376,DIAMOND
1378,PLATINUM
1380,SILVER
1382,GOLD
1384,PLATINUM
1386,PLATINUM
1388,SILVER
1390,DIAMOND
1392,SILVER
1394,PLATINUM
1396,GOLD
1398,DIAMOND
1400,SILVER
1402,SILVER
1404,PLATINUM
1406,DIAMOND
1408,DIAMOND
1410,PLATINUM
1412,GOLD
1414,SILVER
1416,GOLD
1418,GOLD
1420,PLATINUM
1422,GOLD
1424,SILVER
1426,DIAMOND
1428,DIAMOND
1430,GOLD
1432,GOLD
1434,DIAMOND
1436,GOLD
1438,PLATINUM
1440,SILVER
1442,PLATINUM
1444,PLATINUM
1446,GOLD
1448,SILVER
1450,SILVER
1452,DIAMOND
1454,DIAMOND
1456,PLATINUM
1458,SILVER
1460,GOLD
1462,SILVER
1464,DIAMOND
1466,SILVER
1468,DIAMOND
1470,GOLD
1472,SILVER
1474,GOLD
1476,SILVER
1478,GOLD
1480,GOLD
1482,DIAMOND
1484,DIAMOND
1486,PLATINUM
1488,PLATINUM
1490,GOLD
1492,DIAMOND
1494,DIAMOND
1496,GOLD
1498,DIAMOND
1500,SILVER
1502,GOLD
1504,DIAMOND
1506,PLATINUM
1508,GOLD
1510,DIAMOND
1512,GOLD
1514,GOLD
1516,PLATINUM
1518,GOLD
1520,DIAMOND
1522,GOLD
1524,DIAMOND
1526,PLATINUM
1528,GOLD
1530,GOLD
1532,SILVER
1534,GOLD
1536,PLATINUM
1538,GOLD
1540,PLATINUM
1542,GOLD
1544,GOLD
1546,GOLD
1548,DIAMOND
1550,PLATINUM
1552,PLATINUM
1554,GOLD
1556,SILVER
1558,DIAMOND
1560,SILVER
1562,PLATINUM
1564,GOLD
1566,SILVER
1568,SILVER
1570,PLATINUM
1572,SILVER
1574,PLATINUM
1576,GOLD
1578,SILVER
1580,SILVER
1582,GOLD
1584,PLATINUM
1586,GOLD
1588,GOLD
1590,SILVER
1592,DIAMOND
1594,PLATINUM
1596,GOLD
1598,SILVER
1600,SILVER
1602,PLATINUM
1604,SILVER
1606,DIAMOND
1608,DIAMOND
1610,PLATINUM
1612,SILVER
1614,GOLD
1616,DIAMOND
1618,SILVER
1620,GOLD
1622,DIAMOND
1624,GOLD
1626,PLATINUM
1628,SILVER
1630,DIAMOND
1632,SILVER
1634,GOLD
1636,DIAMOND
1638,GOLD
1640,GOLD
1642,DIAMOND
1644,DIAMOND
1646,GOLD
1648,PLATINUM
1650,GOLD
1652,GOLD
1654,DIAMOND
1656,PLATINUM
1658,SILVER
1660,PLATINUM
1662,SILVER
1664,SILVER
1666,GOLD
1668,GOLD
1670,DIAMOND
1672,PLATINUM
1674,DIAMOND
1676,DIAMOND
1678,PLATINUM
1680,DIAMOND
1682,DIAMOND
1684,PLATINUM
1686,PLATINUM
1688,DIAMOND
1690,PLATINUM
1692,GOLD
1694,GOLD
1696,GOLD
1698,PLATINUM
1700,DIAMOND
1702,PLATINUM
1704,GOLD
1706,GOLD
1708,DIAMOND
1710,SILVER
1712,DIAMOND
1714,GOLD
1716,PLATINUM
1718,DIAMOND
1720,PLATINUM
1722,DIAMOND
1724,GOLD
1726,DIAMOND
1728,DIAMOND
1730,SILVER
1732,GOLD
1734,GOLD
1736,PLATINUM
1738,GOLD
1740,PLATINUM
1742,DIAMOND
1744,PLATINUM
1746,GOLD
1748,PLATINUM
1750,GOLD
1752,SILVER
1754,PLATINUM
1756,GOLD
1758,DIAMOND
1760,DIAMOND
1762,SILVER
1764,DIAMOND
1766,DIAMOND
1768,DIAMOND
1770,PLATINUM
1772,SILVER
1774,PLATINUM
1776,SILVER
1778,GOLD
1780,PLATINUM
1782,DIAMOND
1784,SILVER
1786,SILVER
1788,DIAMOND
1790,PLATINUM
1792,GOLD
1794,PLATINUM
1796,PLATINUM
1798,PLATINUM
1800,GOLD
1802,SILVER
1804,SILVER
1806,DIAMOND
1808,GOLD
1810,GOLD
1812,PLATINUM
1814,PLATINUM
1816,DIAMOND
1818,GOLD
1820,PLATINUM
1822,PLATINUM
1824,PLATINUM
1826,PLATINUM
1828,SILVER
1830,PLATINUM
1832,GOLD
1834,GOLD
1836,PLATINUM
1838,PLATINUM
1840,DIAMOND
1842,GOLD
1844,PLATINUM
1846,PLATINUM
1848,PLATINUM
1850,SILVER
1852,PLATINUM
1854,DIAMOND
1856,GOLD
1858,GOLD
1860,SILVER
1862,DIAMOND
1864,GOLD
1866,SILVER
1868,PLATINUM
1870,DIAMOND
1872,PLATINUM
1874,SILVER
1876,PLATINUM
1878,PLATINUM
1880,GOLD
1882,PLATINUM
1884,SILVER
1886,PLATINUM
1888,SILVER
1890,DIAMOND
1892,PLATINUM
1894,PLATINUM
1896,GOLD
1898,PLATINUM
1900,DIAMOND
1902,SILVER
1904,SILVER
1906,PLATINUM
1908,PLATINUM
1910,DIAMOND
1912,SILVER
1914,PLATINUM
1916,GOLD
1918,SILVER
1920,DIAMOND
1922,DIAMOND
1924,PLATINUM
1926,PLATINUM
1928,GOLD
1930,PLATINUM
1932,SILVER
1934,DIAMOND
1936,GOLD
1938,PLATINUM
1940,DIAMOND
1942,SILVER
1944,DIAMOND
1946,SILVER
1948,DIAMOND
1950,DIAMOND
1952,GOLD
1954,SILVER
1956,DIAMOND
1958,GOLD
1960,GOLD
1962,PLATINUM
1964,SILVER
1966,GOLD
1968,PLATINUM
1970,GOLD
1972,PLATINUM
1974,GOLD
1976,SILVER
1978,SILVER
1980,SILVER
1982,GOLD
1984,SILVER
1986,PLATINUM
1988,GOLD
1990,SILVER
1992,SILVER
1994,PLATINUM
1996,DIAMOND
1998,GOLD
2000,PLATINUM
2002,GOLD
2004,DIAMOND
2006,GOLD
2008,DIAMOND
2010,GOLD
2012,SILVER
2014,DIAMOND
2016,GOLD
2018,GOLD
2020,GOLD
2022,GOLD
2024,DIAMOND
2026,DIAMOND
2028,GOLD
2030,SILVER
2032,DIAMOND
2034,PLATINUM
2036,GOLD
2038,DIAMOND
2040,GOLD
2042,SILVER
2044,PLATINUM
2046,DIAMOND
2048,SILVER
2050,DIAMOND
2052,SILVER
2054,SILVER
2056,DIAMOND
2058,SILVER
2060,SILVER
2062,GOLD
2064,PLATINUM
2066,DIAMOND
2068,SILVER
2070,DIAMOND
2072,GOLD
2074,SILVER
2076,DIAMOND
2078,SILVER
2080,SILVER
2082,PLATINUM
2084,PLATINUM
2086,SILVER
2088,GOLD
2090,PLATINUM
2092,DIAMOND
2094,DIAMOND
2096,DIAMOND
2098,PLATINUM
2100,DIAMOND
2102,DIAMOND
2104,PLATINUM
2106,PLATINUM
2108,DIAMOND
2110,PLATINUM
2112,SILVER
2114,GOLD
2116,DIAMOND
2118,PLATINUM
2120,SILVER
2122,GOLD
2124,DIAMOND
2126,SILVER
2128,GOLD
2130,PLATINUM
2132,DIAMOND
2134,DIAMOND
2136,GOLD
2138,GOLD
2140,SILVER
2142,GOLD
2144,GOLD
2146,SILVER
2148,SILVER
2150,DIAMOND
2152,PLATINUM
2154,DIAMOND
2156,DIAMOND
2158,DIAMOND
2160,DIAMOND
2162,GOLD
2164,SILVER
2166,DIAMOND
2168,GOLD
2170,GOLD
2172,GOLD
2174,PLATINUM
2176,PLATINUM
2178,GOLD
2180,SILVER
2182,PLATINUM
2184,DIAMOND
2186,GOLD
2188,SILVER
2190,DIAMOND
2192,PLATINUM
2194,SILVER
2196,GOLD
2198,DIAMOND
2200,PLATINUM
2202,DIAMOND
2204,DIAMOND
2206,PLATINUM
2208,PLATINUM
2210,SILVER
2212,GOLD
2214,PLATINUM
2216,DIAMOND
2218,GOLD
2220,PLATINUM
2222,PLATINUM
2224,SILVER
2226,DIAMOND
2228,GOLD
2230,GOLD
2232,SILVER
2234,SILVER
2236,GOLD
2238,DIAMOND
2240,DIAMOND
2242,PLATINUM
2244,GOLD
2246,DIAMOND
2248,PLATINUM
2250,SILVER
2252,GOLD
2254,SILVER
2256,SILVER
2258,SILVER
2260,SILVER
2262,SILVER
2264,PLATINUM
2266,GOLD
2268,GOLD
2270,SILVER
2272,SILVER
2274,GOLD
2276,DIAMOND
2278,PLATINUM
2280,SILVER
2282,DIAMOND
2284,GOLD
2286,GOLD
2288,GOLD
2290,GOLD
2292,GOLD
2294,PLATINUM
2296,GOLD
2298,GOLD
2300,GOLD
2302,GOLD
2304,GOLD
2306,GOLD
2308,PLATINUM
2310,PLATINUM
2312,PLATINUM
2314,GOLD
2316,PLATINUM
2318,PLATINUM
2320,SILVER
2322,GOLD
2324,GOLD
2326,SILVER
2328,PLATINUM
2330,PLATINUM
2332,PLATINUM
2334,GOLD
2336,SILVER
2338,DIAMOND
2340,SILVER
2342,SILVER
2344,DIAMOND
2346,PLATINUM
2348,DIAMOND
2350,DIAMOND
2352,SILVER
2354,SILVER
2356,GOLD
2358,SILVER
2360,PLATINUM
2362,DIAMOND
2364,PLATINUM
2366,GOLD
2368,PLATINUM
2370,GOLD
2372,GOLD
2374,SILVER
2376,PLATINUM
2378,PLATINUM
2380,GOLD
2382,SILVER
2384,GOLD
2386,SILVER
2388,SILVER
2390,SILVER
2392,PLATINUM
2394,GOLD
2396,PLATINUM
2398,GOLD
2400,SILVER
2402,PLATINUM
2404,PLATINUM
2406,PLATINUM
2408,PLATINUM
2410,GOLD
2412,DIAMOND
2414,PLATINUM
2416,SILVER
2418,DIAMOND
2420,GOLD
2422,SILVER
2424,GOLD
2426,DIAMOND
2428,GOLD
2430,PLATINUM
2432,GOLD
2434,SILVER
2436,SILVER
2438,GOLD
2440,SILVER
2442,PLATINUM
2444,GOLD
2446,SILVER
2448,SILVER
2450,SILVER
2452,SILVER
2454,DIAMOND
2456,GOLD
2458,SILVER
2460,SILVER
2462,GOLD
2464,DIAMOND
2466,SILVER
2468,PLATINUM
2470,DIAMOND
2472,DIAMOND
2474,DIAMOND
2476,GOLD
2478,PLATINUM
2480,GOLD
2482,GOLD
2484,PLATINUM
2486,GOLD
2488,DIAMOND
2490,DIAMOND
2492,SILVER
2494,GOLD
2496,DIAMOND
2498,SILVER
2500,DIAMOND
2502,DIAMOND
2504,SILVER
2506,GOLD
2508,PLATINUM
2510,DIAMOND
2512,SILVER
2514,PLATINUM
2516,GOLD
2518,PLATINUM
2520,GOLD
2522,SILVER
2524,GOLD
2526,PLATINUM
2528,GOLD
2530,SILVER
2532,PLATINUM
2534,SILVER
2536,DIAMOND
2538,SILVER
2540,PLATINUM
2542,SILVER
2544,DIAMOND
2546,GOLD
2548,DIAMOND
2550,SILVER
2552,GOLD
2554,PLATINUM
2556,PLATINUM
2558,SILVER
2560,GOLD
2562,SILVER
2564,GOLD
2566,SILVER
2568,SILVER
2570,GOLD
2572,SILVER
2574,SILVER
2576,DIAMOND
2578,DIAMOND
2580,SILVER
2582,DIAMOND
2584,DIAMOND
2586,GOLD
2588,DIAMOND
2590,PLATINUM
2592,PLATINUM
2594,GOLD
2596,GOLD
2598,GOLD
2600,DIAMOND
2602,SILVER
2604,DIAMOND
2606,PLATINUM
2608,DIAMOND
2610,GOLD
2612,GOLD
2614,SILVER
2616,SILVER
2618,GOLD
2620,DIAMOND
2622,GOLD
2624,GOLD
2626,PLATINUM
2628,DIAMOND
2630,SILVER
2632,GOLD
2634,PLATINUM
2636,SILVER
2638,SILVER
2640,PLATINUM
2642,DIAMOND
2644,PLATINUM
2646,PLATINUM
2648,SILVER
2650,GOLD
2652,DIAMOND
2654,SILVER
2656,GOLD
2658,DIAMOND
2660,PLATINUM
2662,GOLD
2664,PLATINUM
2666,SILVER
2668,SILVER
2670,PLATINUM
2672,PLATINUM
2674,SILVER
2676,PLATINUM
2678,PLATINUM
2680,GOLD
2682,GOLD
2684,GOLD
2686,DIAMOND
2688,GOLD
2690,SILVER
2692,SILVER
2694,GOLD
2696,SILVER
2698,SILVER
2700,DIAMOND
2702,SILVER
2704,SILVER
2706,SILVER
2708,PLATINUM
2710,PLATINUM
2712,GOLD
2714,DIAMOND
2716,PLATINUM
2718,GOLD
2720,SILVER
2722,DIAMOND
2724,DIAMOND
2726,SILVER
2728,PLATINUM
2730,DIAMOND
2732,GOLD
2734,DIAMOND
2736,PLATINUM
2738,PLATINUM
2740,DIAMOND
2742,GOLD
2744,SILVER
2746,DIAMOND
2748,PLATINUM
2750,GOLD
2752,DIAMOND
2754,DIAMOND
2756,DIAMOND
2758,GOLD
2760,SILVER
2762,PLATINUM
2764,GOLD
2766,PLATINUM
2768,GOLD
2770,SILVER
2772,SILVER
2774,SILVER
2776,DIAMOND
2778,DIAMOND
2780,DIAMOND
2782,GOLD
2784,GOLD
2786,DIAMOND
2788,SILVER
2790,GOLD
2792,GOLD
2794,SILVER
2796,PLATINUM
2798,GOLD
2800,PLATINUM
2802,GOLD
2804,GOLD
2806,GOLD
2808,SILVER
2810,PLATINUM
2812,PLATINUM
2814,GOLD
2816,PLATINUM
2818,DIAMOND
2820,GOLD
2822,DIAMOND
2824,GOLD
2826,PLATINUM
2828,PLATINUM
2830,PLATINUM
2832,DIAMOND
2834,PLATINUM
2836,GOLD
2838,PLATINUM
2840,PLATINUM
2842,SILVER
2844,DIAMOND
2846,DIAMOND
2848,SILVER
2850,DIAMOND
2852,GOLD
2854,DIAMOND
2856,DIAMOND
2858,PLATINUM
2860,SILVER
2862,GOLD
2864,SILVER
2866,PLATINUM
2868,DIAMOND
2870,DIAMOND
2872,SILVER
2874,GOLD
2876,DIAMOND
2878,GOLD
2880,DIAMOND
2882,DIAMOND
2884,SILVER
2886,SILVER
2888,GOLD
2890,SILVER
2892,SILVER
2894,SILVER
2896,DIAMOND
2898,SILVER
2900,PLATINUM
2902,SILVER
2904,SILVER
2906,SILVER
2908,PLATINUM
2910,GOLD
2912,PLATINUM
2914,PLATINUM
2916,SILVER
2918,GOLD
2920,GOLD
2922,PLATINUM
2924,DIAMOND
2926,PLATINUM
2928,DIAMOND
2930,PLATINUM
2932,GOLD
2934,DIAMOND
2936,DIAMOND
2938,SILVER
2940,PLATINUM
2942,SILVER
2944,PLATINUM
2946,SILVER
2948,SILVER
2950,GOLD
2952,DIAMOND
2954,GOLD
2956,SILVER
2958,GOLD
2960,GOLD
2962,PLATINUM
2964,GOLD
2966,PLATINUM
2968,DIAMOND
2970,DIAMOND
2972,DIAMOND
2974,PLATINUM
2976,DIAMOND
2978,SILVER
2980,SILVER
2982,DIAMOND
2984,SILVER
2986,PLATINUM
2988,GOLD
2990,PLATINUM
2992,DIAMOND
2994,DIAMOND
2996,DIAMOND
2998,GOLD
3000,DIAMOND
3002,GOLD
3004,PLATINUM
3006,GOLD
3008,PLATINUM
3010,DIAMOND
3012,SILVER
3014,PLATINUM
3016,PLATINUM
3018,PLATINUM
3020,DIAMOND
3022,DIAMOND
3024,GOLD
3026,SILVER
3028,PLATINUM
3030,DIAMOND
3032,PLATINUM
3034,PLATINUM
3036,PLATINUM
3038,SILVER
3040,DIAMOND
3042,SILVER
3044,DIAMOND
3046,DIAMOND
3048,PLATINUM
3050,PLATINUM
3052,SILVER
3054,PLATINUM
3056,SILVER
3058,PLATINUM
3060,DIAMOND
3062,DIAMOND
3064,GOLD
3066,DIAMOND
3068,SILVER
3070,GOLD
3072,GOLD
3074,DIAMOND
3076,GOLD
3078,PLATINUM
3080,GOLD
3082,GOLD
3084,GOLD
3086,PLATINUM
3088,SILVER
3090,PLATINUM
3092,GOLD
3094,SILVER
3096,PLATINUM
3098,SILVER
3100,SILVER
3102,DIAMOND
3104,SILVER
3106,PLATINUM
3108,GOLD
3110,PLATINUM
3112,DIAMOND
3114,GOLD
3116,SILVER
3118,GOLD
3120,GOLD
3122,SILVER
3124,PLATINUM
3126,DIAMOND
3128,DIAMOND
3130,GOLD
3132,PLATINUM
3134,SILVER
3136,PLATINUM
3138,PLATINUM
3140,DIAMOND
3142,PLATINUM
3144,GOLD
3146,DIAMOND
3148,SILVER
3150,DIAMOND
3152,SILVER
3154,SILVER
3156,PLATINUM
3158,DIAMOND
3160,GOLD
3162,GOLD
3164,PLATINUM
3166,GOLD
3168,GOLD
3170,DIAMOND
3172,PLATINUM
3174,DIAMOND
3176,SILVER
3178,GOLD
3180,GOLD
3182,DIAMOND
3184,SILVER
3186,DIAMOND
3188,GOLD
3190,DIAMOND
3192,GOLD
3194,GOLD
3196,DIAMOND
3198,DIAMOND
3200,DIAMOND
3202,GOLD
3204,GOLD
3206,DIAMOND
3208,PLATINUM
3210,GOLD
3212,SILVER
3214,DIAMOND
3216,GOLD
3218,SILVER
3220,DIAMOND
3222,PLATINUM
